longitude,latitude,start_date,end_date,label,cube,time_series
-55.00253188603705,-3.3707133772715534,2001-01-01,2023-01-01,ucuuba terra-firme,NA,NA
-55.00259402330466,-3.3707211684334553,2001-01-01,2023-01-01,morta,NA,NA
-55.00252710868295,-3.3707136304705525,2001-01-01,2023-01-01,ucuuba vermelha,NA,NA
-55.002593989205685,-3.3707092331629753,2001-01-01,2023-01-01,muirapixuna,NA,NA
-55.00252417946568,-3.3707102900608783,2001-01-01,2023-01-01,jatereu,NA,NA
-55.00259395023532,-3.370695592853888,2001-01-01,2023-01-01,ucuuba,NA,NA
-55.00256975593748,-3.370668373607656,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00262281561214,-3.3706638308394967,2001-01-01,2023-01-01,seringueira,NA,NA
-55.002560092777394,-3.370667014407538,2001-01-01,2023-01-01,cacau,NA,NA
-55.00264215090442,-3.3706589244507703,2001-01-01,2023-01-01,ingarana,NA,NA
-55.00252604775888,-3.370652573866624,2001-01-01,2023-01-01,matamata vermelho,NA,NA
-55.002670925490776,-3.370672005121187,2001-01-01,2023-01-01,quinarana,NA,NA
-55.002555728390135,-3.3706213926118465,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.002661234568244,-3.3706773928388074,2001-01-01,2023-01-01,morta,NA,NA
-55.00255508084081,-3.370562674272126,2001-01-01,2023-01-01,muiratinga,NA,NA
-55.00266140940882,-3.370663235214265,2001-01-01,2023-01-01,inhare,NA,NA
-55.002325560015755,-3.370535257888967,2001-01-01,2023-01-01,louro preto,NA,NA
-55.0026615225409,-3.3706540743984528,2001-01-01,2023-01-01,acoita-cavalo,NA,NA
-55.002426462409026,-3.3705809323888416,2001-01-01,2023-01-01,pau-jacare,NA,NA
-55.00270040995354,-3.3706429002347758,2001-01-01,2023-01-01,quinarana,NA,NA
-55.002427128970965,-3.370598940500735,2001-01-01,2023-01-01,gema-de-ovo,NA,NA
-55.00269053011851,-3.370653087582599,2001-01-01,2023-01-01,inga-de-rosca,NA,NA
-55.00243787069276,-3.3706257364061156,2001-01-01,2023-01-01,mututi,NA,NA
-55.00270033973941,-3.3706461863711334,2001-01-01,2023-01-01,lacrao,NA,NA
-55.002458190745664,-3.3706520625331753,2001-01-01,2023-01-01,caqui,NA,NA
-55.00266148140197,-3.3706574056042387,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.00240975392935,-3.370653566371613,2001-01-01,2023-01-01,embauba,NA,NA
-55.00270996535752,-3.3706483361186383,2001-01-01,2023-01-01,morta,NA,NA
-55.002379504246335,-3.3706288629592134,2001-01-01,2023-01-01,embauba,NA,NA
-55.00271996145523,-3.3706357827577587,2001-01-01,2023-01-01,envira-cunauaru,NA,NA
-55.002356712266575,-3.370563057860238,2001-01-01,2023-01-01,embauba,NA,NA
-55.00269119104414,-3.3706184648438278,2001-01-01,2023-01-01,ucuuba,NA,NA
-55.002347761555036,-3.3706740083326467,2001-01-01,2023-01-01,parapara,NA,NA
-55.00263275661969,-3.3706129986152678,2001-01-01,2023-01-01,inga-de-rosca,NA,NA
-55.00234824929746,-3.3706832518199716,2001-01-01,2023-01-01,parapara,NA,NA
-55.00264258317511,-3.370604426167851,2001-01-01,2023-01-01,angelim rajado,NA,NA
-55.00234873703985,-3.370692495307386,2001-01-01,2023-01-01,embauba branca,NA,NA
-55.002632862947955,-3.3705944910721577,2001-01-01,2023-01-01,cucutitiriba,NA,NA
-55.00239159710881,-3.370681518095026,2001-01-01,2023-01-01,capueiro,NA,NA
-55.002623129266894,-3.370576047684159,2001-01-01,2023-01-01,capueiro,NA,NA
-55.0024016177524,-3.3706902213836862,2001-01-01,2023-01-01,embauba branca,NA,NA
-55.0026428092852,-3.3705759193736475,2001-01-01,2023-01-01,papo-de-mutum,NA,NA
-55.00244102177866,-3.370715495281876,2001-01-01,2023-01-01,fava-arara-tucupi,NA,NA
-55.00266249958841,-3.3705749582613564,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00243212817997,-3.3707340013402787,2001-01-01,2023-01-01,parapara,NA,NA
-55.002643048695326,-3.3705457357092157,2001-01-01,2023-01-01,louro-pimenta,NA,NA
-55.00238578152425,-3.370764207449241,2001-01-01,2023-01-01,parapara,NA,NA
-55.00267276498088,-3.370545847461513,2001-01-01,2023-01-01,gema-de-ovo,NA,NA
-55.00236684292601,-3.3707654850249753,2001-01-01,2023-01-01,parapara,NA,NA
-55.002682531218724,-3.3705541563897152,2001-01-01,2023-01-01,freijo branco,NA,NA
-55.00234132677347,-3.3707681374804603,2001-01-01,2023-01-01,embauba branca,NA,NA
-55.0026921037497,-3.370570652490259,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00234094252743,-3.3707784097577953,2001-01-01,2023-01-01,ucuuba terra-firme,NA,NA
-55.002701603592534,-3.3705870359171417,2001-01-01,2023-01-01,murta,NA,NA
-55.00235880959486,-3.370793812022242,2001-01-01,2023-01-01,goiabao,NA,NA
-55.00272208024584,-3.370554192717326,2001-01-01,2023-01-01,angelim rajado,NA,NA
-55.002396428130744,-3.3707900071770878,2001-01-01,2023-01-01,embauba branca,NA,NA
-55.002731415380595,-3.370573715804577,2001-01-01,2023-01-01,muirapixuna,NA,NA
-55.002393603150615,-3.370790223319968,2001-01-01,2023-01-01,embauba branca,NA,NA
-55.00278191724574,-3.3705414632156803,2001-01-01,2023-01-01,goiabao,NA,NA
-55.002426470337,-3.3708339100918705,2001-01-01,2023-01-01,acoita-cavalo,NA,NA
-55.002781853063574,-3.370543061214467,2001-01-01,2023-01-01,matamata preto,NA,NA
-55.00235163053687,-3.3708361943873535,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.00280057096946,-3.370567752584339,2001-01-01,2023-01-01,tauari,NA,NA
-55.002366803974795,-3.3708579576089233,2001-01-01,2023-01-01,quinarana,NA,NA
-55.00278018432649,-3.37058460918165,2001-01-01,2023-01-01,muirapixuna,NA,NA
-55.00237962956442,-3.370833644235198,2001-01-01,2023-01-01,cucutitiriba,NA,NA
-55.00277947832199,-3.370602187167753,2001-01-01,2023-01-01,envira preta,NA,NA
-55.00239031982072,-3.3708620578579915,2001-01-01,2023-01-01,acoita-cavalo,NA,NA
-55.00279903477242,-3.370601867308982,2001-01-01,2023-01-01,quinarana,NA,NA
-55.00239971646995,-3.370863852687006,2001-01-01,2023-01-01,cajuacu,NA,NA
-55.002787222047175,-3.370649798190008,2001-01-01,2023-01-01,joao-mole,NA,NA
-55.002400528405126,-3.3708820861461604,2001-01-01,2023-01-01,morta,NA,NA
-55.00278644215509,-3.3706681103880447,2001-01-01,2023-01-01,abiurana,NA,NA
-55.00236455346271,-3.3709045648609886,2001-01-01,2023-01-01,coracao-de-negro,NA,NA
-55.00279503351122,-3.370690724265699,2001-01-01,2023-01-01,urucurana,NA,NA
-55.00239256776016,-3.3709105258175236,2001-01-01,2023-01-01,breu branco,NA,NA
-55.00280265598515,-3.370731357389952,2001-01-01,2023-01-01,capueiro,NA,NA
-55.00236093058578,-3.3709235824927455,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.00279296142737,-3.3707367394752974,2001-01-01,2023-01-01,ucuuba,NA,NA
-55.002377434048014,-3.3709771134262168,2001-01-01,2023-01-01,pente-de-macaco,NA,NA
-55.002774183281446,-3.370734022062693,2001-01-01,2023-01-01,tachi preto,NA,NA
-55.0028016047867,-3.3707534927574194,2001-01-01,2023-01-01,cacau,NA,NA
-55.002763645304675,-3.370762710337491,2001-01-01,2023-01-01,louro preto,NA,NA
-55.002763039824494,-3.3707787466614496,2001-01-01,2023-01-01,quinarana,NA,NA
-55.002771134616346,-3.3708099270017513,2001-01-01,2023-01-01,murta,NA,NA
-55.00272460585303,-3.370814388538688,2001-01-01,2023-01-01,marupa,NA,NA
-55.00276182886361,-3.3708108193092805,2001-01-01,2023-01-01,gema-de-ovo,NA,NA
-55.00275166940583,-3.3708358506078753,2001-01-01,2023-01-01,matamata preto,NA,NA
-55.0027790840314,-3.370840881994594,2001-01-01,2023-01-01,fava-barbatimao,NA,NA
-55.0027969119323,-3.3708523113618223,2001-01-01,2023-01-01,acariquara,NA,NA
-55.00276824640365,-3.3708818369435085,2001-01-01,2023-01-01,cacau,NA,NA
-55.00280111018746,-3.3707440728674363,2001-01-01,2023-01-01,envira surucucu,NA,NA
-55.002794377466614,-3.3706408316140335,2001-01-01,2023-01-01,joao mole,NA,NA
